lat,lng,elevation
2.3202,33.2488,1041.8508
2.3203,33.2488,1041.8508
2.3204,33.2488,1041.8508
2.3205,33.2488,1041.8508
2.3206,33.2488,1041.8508
2.3207,33.2488,1041.8508
2.3208,33.2488,1041.8508
2.3209,33.2488,1041.9064
2.32,33.2489,1041.8147
2.3201,33.2489,1041.6691
2.3202,33.2489,1041.5596
2.3203,33.2489,1041.5596
2.3204,33.2489,1041.5596
2.3205,33.2489,1041.5596
2.3206,33.2489,1041.5596
2.3207,33.2489,1041.5596
2.3208,33.2489,1041.5596
2.3209,33.2489,1041.6151
2.321,33.2489,1041.7607
2.3211,33.2489,1041.9064
2.3198,33.249,1041.8147
2.3199,33.249,1041.6691
2.32,33.249,1041.5234
2.3201,33.249,1041.3777
2.3202,33.249,1041.2683
2.3203,33.249,1041.2683
2.3204,33.249,1041.2683
2.3205,33.249,1041.2683
2.3206,33.249,1041.2683
2.3207,33.249,1041.2683
2.3208,33.249,1041.2683
2.3209,33.249,1041.3239
2.321,33.249,1041.4695
2.3211,33.249,1041.6151
2.3212,33.249,1041.7607
2.3213,33.249,1041.9064
2.3196,33.2491,1041.8147
2.3197,33.2491,1041.6691
2.3198,33.2491,1041.5234
2.3199,33.2491,1041.3777
2.32,33.2491,1041.2321
2.3201,33.2491,1041.0864
2.3202,33.2491,1040.9771
2.3203,33.2491,1040.9771
2.3204,33.2491,1040.9771
2.3205,33.2491,1040.9771
2.3206,33.2491,1040.9771
2.3207,33.2491,1040.9771
2.3208,33.2491,1040.9771
2.3209,33.2491,1041.0326
2.321,33.2491,1041.1782
2.3211,33.2491,1041.3239
2.3212,33.2491,1041.4695
2.3213,33.2491,1041.6151
2.3214,33.2491,1041.7607
2.3215,33.2491,1041.9064
2.3194,33.2492,1041.9436
2.3195,33.2492,1041.6691
2.3196,33.2492,1041.5234
2.3197,33.2492,1041.3777
2.3198,33.2492,1041.2321
2.3199,33.2492,1041.0864
2.32,33.2492,1040.9408
2.3201,33.2492,1040.7952
2.3202,33.2492,1040.6857
2.3203,33.2492,1040.6857
2.3204,33.2492,1040.6857
2.3205,33.2492,1040.6857
2.3206,33.2492,1040.6857
2.3207,33.2492,1040.6857
2.3208,33.2492,1040.6857
2.3209,33.2492,1040.7413
2.321,33.2492,1040.887
2.3211,33.2492,1041.0326
2.3212,33.2492,1041.1782
2.3213,33.2492,1041.3239
2.3214,33.2492,1041.4695
2.3215,33.2492,1041.6151
2.3216,33.2492,1041.8101
2.3193,33.2493,1041.9436
2.3194,33.2493,1041.6523
2.3195,33.2493,1041.3777
2.3196,33.2493,1041.2321
2.3197,33.2493,1041.0864
2.3198,33.2493,1040.9408
2.3199,33.2493,1040.7952
2.32,33.2493,1040.6495
2.3201,33.2493,1040.5039
2.3202,33.2493,1040.3944
2.3203,33.2493,1040.3944
2.3204,33.2493,1040.3944
2.3205,33.2493,1040.3944
2.3206,33.2493,1040.3944
2.3207,33.2493,1040.3944
2.3208,33.2493,1040.3944
2.3209,33.2493,1040.4501
2.321,33.2493,1040.5957
2.3211,33.2493,1040.7413
2.3212,33.2493,1040.887
2.3213,33.2493,1041.0326
2.3214,33.2493,1041.1782
2.3215,33.2493,1041.3239
2.3216,33.2493,1041.5298
2.3217,33.2493,1041.7924
2.3192,33.2494,1041.9436
2.3193,33.2494,1041.6523
2.3194,33.2494,1041.3611
2.3195,33.2494,1041.0864
2.3196,33.2494,1040.9408
2.3197,33.2494,1040.7952
2.3198,33.2494,1040.6495
2.3199,33.2494,1040.5039
2.32,33.2494,1040.3583
2.3201,33.2494,1040.2126
2.3202,33.2494,1040.1031
2.3203,33.2494,1040.1031
2.3204,33.2494,1040.1031
2.3205,33.2494,1040.1031
2.3206,33.2494,1040.1031
2.3207,33.2494,1040.1031
2.3208,33.2494,1040.1031
2.3209,33.2494,1040.1588
2.321,33.2494,1040.3044
2.3211,33.2494,1040.4501
2.3212,33.2494,1040.5957
2.3213,33.2494,1040.7413
2.3214,33.2494,1040.887
2.3215,33.2494,1041.0326
2.3216,33.2494,1041.2494
2.3217,33.2494,1041.5332
2.3218,33.2494,1041.8169
2.3192,33.2495,1041.8009
2.3193,33.2495,1041.5233
2.3194,33.2495,1041.2457
2.3195,33.2495,1040.9817
2.3196,33.2495,1040.8224
